id,@context,@type,@id,name,image,description,sku,gtin13,brand.@type,brandname,url,offers.@type,offers.url,offers.priceCurrency,offers.price,offers.itemCondition,offers.availability,aggregateRating.@type,aggregateRating.ratingValue,aggregateRating.ratingCount,aggregateRating.reviewCount,dt_created,kategori
2371,https://schema.org/,Product,https://www.trendyol.com/nutraxin/magnezyum-complex-60-tablet-125-mg-bisiglinat-taurat-malat-sitrat-b6-p-450797981#baseproduct,"Nutraxin Magnezyum Complex 60 Tablet 125 Mg - Bisiglinat - Taurat - Malat - Sitrat - B6","https://cdn.dsmcdn.com/ty1010/product/media/images/prod/SPM/PIM/20231006/13/fa0414f2-1206-3b74-a100-b26fefe1261a/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1008/product/media/images/prod/SPM/PIM/20231006/13/c75ab126-ef40-3a32-a030-b49dab313543/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1008/product/media/images/prod/SPM/PIM/20231006/13/cf5ede2e-687d-365c-9349-ade9c6343ac6/1_org_zoom.jpg",""Nutraxin Magnezyum Complex 60 Tablet 125 Mg - Bisiglinat - Taurat - Malat - Sitrat - B6 yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",450797981,8680512632108,Brand,Nutraxin,https://www.trendyol.com/nutraxin/magnezyum-complex-60-tablet-125-mg-bisiglinat-taurat-malat-sitrat-b6-p-450797981,Offer,https://www.trendyol.com/nutraxin/magnezyum-complex-60-tablet-125-mg-bisiglinat-taurat-malat-sitrat-b6-p-450797981,TRY,174.8,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,1476,888,"2023-12-12 16:02:18",vitamin-x-c105087
2372,https://schema.org/,Product,https://www.trendyol.com/anocin/magnezyum-x4-complex-citrate-taurate-bisglycinate-malate-bromelain-kolajen-h-asit-d-b12-b6-p-745406817#baseproduct,"anocin MAGNEZYUM X4 COMPLEX CİTRATE, TAURATE, BİSGLYCİNATE, MALATE + BROMELAİN + KOLAJEN+ H.ASİT+D+B12+B6","https://cdn.dsmcdn.com/ty987/product/media/images/jpim-outputs/assets/product/media/images/20230824/9/406858490/981150305/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty988/product/media/images/jpim-outputs/assets/product/media/images/20230824/9/406858442/981150305/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty988/product/media/images/jpim-outputs/assets/product/media/images/20230824/9/406858491/9811",""anocin MAGNEZYUM X4 COMPLEX CİTRATE, TAURATE, BİSGLYCİNATE, MALATE + BROMELAİN + KOLAJEN+ H.ASİT+D+B12+B6 yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",745406817,MAGNEZYUM,Brand,anocin,https://www.trendyol.com/anocin/magnezyum-x4-complex-citrate-taurate-bisglycinate-malate-bromelain-kolajen-h-asit-d-b12-b6-p-745406817,Offer,https://www.trendyol.com/anocin/magnezyum-x4-complex-citrate-taurate-bisglycinate-malate-bromelain-kolajen-h-asit-d-b12-b6-p-745406817,TRY,262,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.6,256,173,"2023-12-12 16:02:19",vitamin-x-c105087
2373,https://schema.org/,Product,https://www.trendyol.com/melamoon/dogal-melatonin-ve-teanin-iceren-120-tablet-takviye-edici-gida-3-mg-daha-kaliteli-ve-stressiz-uyku-p-411465457#baseproduct,"Melamoon Doğal Melatonin Ve Teanin Içeren 120 Tablet Takviye Edici Gıda 3 Mg- Daha Kaliteli ve Stressiz uyku","https://cdn.dsmcdn.com/ty1019/product/media/images/prod/SPM/PIM/20231018/18/08c216a6-3d34-3e3f-8afe-d248c27a3c21/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1017/product/media/images/prod/SPM/PIM/20231018/17/39e24881-5e51-3e2b-87b5-12aaecc46a32/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1017/product/media/images/prod/SPM/PIM/20231018/17/952cad99-e588-3d0f-8329-c02a96f12661/1_org_zoom.jpg",""Melamoon Doğal Melatonin Ve Teanin Içeren 120 Tablet Takviye Edici Gıda 3 Mg- Daha Kaliteli ve Stressiz uyku yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",411465457,8683295530845,Brand,Melamoon,https://www.trendyol.com/melamoon/dogal-melatonin-ve-teanin-iceren-120-tablet-takviye-edici-gida-3-mg-daha-kaliteli-ve-stressiz-uyku-p-411465457,Offer,https://www.trendyol.com/melamoon/dogal-melatonin-ve-teanin-iceren-120-tablet-takviye-edici-gida-3-mg-daha-kaliteli-ve-stressiz-uyku-p-411465457,TRY,165,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.4,2130,1547,"2023-12-12 16:02:19",vitamin-x-c105087
2374,https://schema.org/,Product,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-p-274358592#baseproduct,"Phytodef Demir + Folik Asit + Vitamin B12 + Vitamin C - 30 Tablet","https://cdn.dsmcdn.com/ty1023/product/media/images/prod/PIM/20231027/12/58b09578-11a3-4529-af9b-3d8a757875f4/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1024/product/media/images/prod/PIM/20231027/12/f1e863a2-be8b-49c4-b37c-3551d9fa831b/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/images/20221024/13/201375479/437430718/3/3_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty576/product/media/i",""Phytodef Demir + Folik Asit + Vitamin B12 + Vitamin C - 30 Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",274358592,8698740189608-69,Brand,Phytodef,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-p-274358592,Offer,https://www.trendyol.com/phytodef/demir-folik-asit-vitamin-b12-vitamin-c-30-tablet-p-274358592,TRY,259,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.6,448,274,"2023-12-12 16:02:20",vitamin-x-c105087
2375,https://schema.org/,Product,https://www.trendyol.com/ocean/extramag-200-mg-magnezyum-60-tablet-p-272994269#baseproduct,"Ocean Extramag 200 Mg Magnezyum 60 Tablet",https://cdn.dsmcdn.com/ty185/product/media/images/20211001/0/137868577/75998366/1/1_org_zoom.jpg,""Ocean Extramag 200 Mg Magnezyum 60 Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",272994269,8697595871942,Brand,Ocean,https://www.trendyol.com/ocean/extramag-200-mg-magnezyum-60-tablet-p-272994269,Offer,https://www.trendyol.com/ocean/extramag-200-mg-magnezyum-60-tablet-p-272994269,TRY,329.9,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,5445,3118,"2023-12-12 16:02:21",vitamin-x-c105087
2376,https://schema.org/,Product,https://www.trendyol.com/perfectil/original-p-25804959#baseproduct,"Perfectil Original","https://cdn.dsmcdn.com/ty702/product/media/images/20230126/12/266275754/43928196/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty796/product/media/images/20230324/13/311045175/43928196/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty133/product/media/images/20210618/12/102104997/43928196/1/1_org_zoom.jpg",""Perfectil Original yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",25804959,5021265248643,Brand,Perfectil,https://www.trendyol.com/perfectil/original-p-25804959,Offer,https://www.trendyol.com/perfectil/original-p-25804959,TRY,265,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.5,7546,4715,"2023-12-12 16:02:22",vitamin-x-c105087
2377,https://schema.org/,Product,https://www.trendyol.com/youplus/vitamin-c-cinko-propolis-20-efervesan-tablet-p-222432324#baseproduct,"Youplus Vitamin C, Çinko & Propolis 20 Efervesan Tablet","https://cdn.dsmcdn.com/ty589/product/media/images/20221105/12/208063800/359851762/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty581/product/media/images/20221028/11/203331079/359851762/2/2_org_zoom.jpg",""Youplus Vitamin C, Çinko & Propolis 20 Efervesan Tablet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",222432324,8699514020158,Brand,Youplus,https://www.trendyol.com/youplus/vitamin-c-cinko-propolis-20-efervesan-tablet-p-222432324,Offer,https://www.trendyol.com/youplus/vitamin-c-cinko-propolis-20-efervesan-tablet-p-222432324,TRY,64.55,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.7,1935,1061,"2023-12-12 16:02:22",vitamin-x-c105087
2378,https://schema.org/,Product,https://www.trendyol.com/phytodef/kalsiyum-magnezyum-cinko-60-tablet-magnezyum-b6-d3-30-tablet-calcium-magnesium-zinc-p-211537245#baseproduct,"Phytodef Kalsiyum Magnezyum Çinko - 60 Tablet & Magnezyum B6 D3 - 30 Tablet (CALCİUM MAGNESİUM ZİNC)","https://cdn.dsmcdn.com/ty577/product/media/images/20221024/16/201566821/343735175/1/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201566821/343735175/2/2_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty578/product/media/images/20221024/16/201566821/343735175/3/3_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty577/product/media/images/20221024/16/201566821/343735175/4/4_org_zoom",""Phytodef Kalsiyum Magnezyum Çinko - 60 Tablet & Magnezyum B6 D3 - 30 Tablet (CALCİUM MAGNESİUM ZİNC) yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",211537245,8698740189127-36,Brand,Phytodef,https://www.trendyol.com/phytodef/kalsiyum-magnezyum-cinko-60-tablet-magnezyum-b6-d3-30-tablet-calcium-magnesium-zinc-p-211537245,Offer,https://www.trendyol.com/phytodef/kalsiyum-magnezyum-cinko-60-tablet-magnezyum-b6-d3-30-tablet-calcium-magnesium-zinc-p-211537245,TRY,376,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.8,214,129,"2023-12-12 16:02:23",vitamin-x-c105087
2379,https://schema.org/,Product,https://www.trendyol.com/ocean/d3k2-damla-20-ml-p-6476282#baseproduct,"Ocean D3k2 Damla 20 ml",https://cdn.dsmcdn.com/ty288/product/media/images/20220107/15/23057662/20901571/1/1_org_zoom.jpg,""Ocean D3k2 Damla 20 ml yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",6476282,8697595871621,Brand,Ocean,https://www.trendyol.com/ocean/d3k2-damla-20-ml-p-6476282,Offer,https://www.trendyol.com/ocean/d3k2-damla-20-ml-p-6476282,TRY,202.5,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.8,8236,4340,"2023-12-12 16:02:24",vitamin-x-c105087
2380,https://schema.org/,Product,https://www.trendyol.com/sovital/sleepo-melatonin-3-mg-6-mg-magnezyum-uyku-destek-vegan-gummy-60-adet-p-470297563#baseproduct,"SOVITAL Sleepo Melatonin 3 Mg / 6 Mg & Magnezyum, Uyku Destek, Vegan Gummy 60 Adet","https://cdn.dsmcdn.com/ty1002/product/media/images/prod/SPM/PIM/20230923/23/673ecf0a-e5dd-3c3a-85f7-3d89a4dd43d9/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1002/product/media/images/prod/SPM/PIM/20230923/23/fd5cab66-9740-3c5b-a39c-c46bf8f5b1a8/1_org_zoom.jpg', 'https://cdn.dsmcdn.com/ty1002/product/media/images/prod/SPM/PIM/20230923/23/185e52cc-87a4-3251-8044-f39708394343/1_org_zoom.jpg",""SOVITAL Sleepo Melatonin 3 Mg / 6 Mg & Magnezyum, Uyku Destek, Vegan Gummy 60 Adet yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın."",470297563,8683210460509,Brand,SOVITAL,https://www.trendyol.com/sovital/sleepo-melatonin-3-mg-6-mg-magnezyum-uyku-destek-vegan-gummy-60-adet-p-470297563,Offer,https://www.trendyol.com/sovital/sleepo-melatonin-3-mg-6-mg-magnezyum-uyku-destek-vegan-gummy-60-adet-p-470297563,TRY,425,https://schema.org/NewCondition,https://schema.org/InStock,AggregateRating,4.5,34,28,"2023-12-12 16:02:25",vitamin-x-c105087
